id,Serial Number,Meter Size,Manufactured Year,Received Date,Physical Checked Date,Defect,Status
1,AIS19PA03XXXXX,15,2019,9/3/21,9/3/21,4. LEAKING AT ANY PART OF METER BODY,CAN CLAIM
2,AIS19PA03XXXXX,15,2019,9/3/21,9/3/21,3. LEAKING THROUGH INDICATING DEVICE & PULSE OUTPUT,CAN CLAIM
3,AIS19PA00XXXXX,15,2019,9/3/21,9/3/21,9. METER NOT IN METER WARRANTY CATEGORY,CANNOT CLAIM
4,AIS19PA04XXXXX,15,2019,9/15/21,9/29/21,8. METER STUCK,CAN CLAIM
5,AIS19PA01XXXXX,15,2019,9/15/21,9/29/21,9. METER NOT IN METER WARRANTY CATEGORY,CANNOT CLAIM
6,AIS20PA03XXXXX,15,2020,9/15/21,9/29/21,9. METER NOT IN METER WARRANTY CATEGORY,CANNOT CLAIM
7,AIS20PA02XXXXX,15,2020,9/15/21,9/29/21,8. METER STUCK,CAN CLAIM
8,AIS21PA01XXXXX,15,2021,9/15/21,9/29/21,9. METER NOT IN METER WARRANTY CATEGORY,CANNOT CLAIM
9,AIS21PA01XXXXX,15,2021,9/15/21,9/29/21,8. METER STUCK,CAN CLAIM
10,AIS21PA01XXXXX,15,2021,9/15/21,9/29/21,9. METER NOT IN METER WARRANTY CATEGORY,CANNOT CLAIM
